2025-06-22 11:01:48,427 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:106] Start: GF-CICO
2025-06-22 11:01:50,825 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:106] Start: GF-CICO
2025-06-22 11:01:55,840 - ERROR - [in d:\vs code\TN4_old\TN4\src\app.py:290] MQTT Loop Error: timed out
2025-06-22 11:40:01,713 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:106] Start: GF-CICO
2025-06-22 11:40:03,488 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:106] Start: GF-CICO
2025-06-22 12:16:59,417 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:109] Start: GF-CICO
2025-06-22 12:18:26,617 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:109] Start: GF-CICO
2025-06-22 12:18:28,441 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:109] Start: GF-CICO
2025-06-22 12:20:32,329 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:109] Start: GF-CICO
2025-06-22 12:20:34,149 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:109] Start: GF-CICO
2025-06-22 12:49:52,631 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:108] Start: GF-CICO
2025-06-22 18:45:23,677 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 18:45:24,008 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 18:50:23,805 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 18:50:24,081 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 18:55:24,128 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 19:00:24,471 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 19:00:25,204 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 1, Offline = 1, Total = 2
2025-06-22 19:05:24,488 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 19:05:25,207 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 19:10:25,688 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 1, Offline = 1, Total = 2
2025-06-22 19:10:25,688 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 19:15:25,727 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 19:15:25,727 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 19:20:25,731 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 19:20:25,763 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 19:25:27,728 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 0, Offline = 2, Total = 2
2025-06-22 19:25:27,775 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 0, Offline = 2, Total = 2
2025-06-22 19:30:27,742 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 19:30:27,786 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 19:35:27,751 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 19:35:27,815 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
